session_id,timestamp,side,entry_price,exit_price,pnl,reason,entry_time,exit_time,max_pnl,mean_open_pnl,style,entry_reason
BACKTEST_20260119_150947,2026-01-19 15:39:05.065524,CALL,25214.4,25181.45,-32.95039,SL Hit,2025-07-15 11:05:00,2025-07-15 12:20:00,9.798828,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 15:48:28.297505,CALL,24865.55,24816.3,-49.250782,SL Hit,2025-07-28 10:20:00,2025-07-28 10:40:00,5.3496094,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 15:52:00.753262,CALL,24757.5,24907.15,149.65,Target Hit,2025-07-31 11:20:00,2025-07-31 13:10:00,142.65039,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 15:52:48.469041,CALL,24778.95,24728.1,-50.84922,SL Hit,2025-08-01 10:35:00,2025-08-01 11:05:00,0.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:05:21.075647,CALL,24953.4,24984.65,31.25,EOD Square-off,2025-08-19 11:50:00,2025-08-19 15:15:00,50.59961,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:06:28.913500,CALL,25002.3,25040.75,38.44922,EOD Square-off,2025-08-20 10:35:00,2025-08-20 15:15:00,75.84961,0.0,VBD,Signal
BACKTEST_20260119_150947,2026-01-19 16:13:47.579463,CALL,24547.85,24628.55,80.70117,EOD Square-off,2025-09-01 11:20:00,2025-09-01 15:15:00,84.40039,0.0,VBD,Signal
BACKTEST_20260119_150947,2026-01-19 16:19:11.208588,CALL,24828.35,24778.5,-49.84961,SL Hit,2025-09-08 12:05:00,2025-09-08 14:45:00,51.40039,0.0,VBD,Signal
BACKTEST_20260119_150947,2026-01-19 16:25:35.766762,CALL,25196.25,25244.35,48.09961,EOD Square-off,2025-09-16 12:35:00,2025-09-16 15:15:00,44.40039,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:34:31.118015,CALL,24787.35,24736.55,-50.79961,SL Hit,2025-09-29 10:20:00,2025-09-29 10:50:00,0.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:37:26.641706,CALL,24721.0,24839.7,118.69922,EOD Square-off,2025-10-01 11:20:00,2025-10-01 15:15:00,143.59961,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:39:21.552435,CALL,25048.05,25053.05,5.0,SL Hit,2025-10-06 13:05:00,2025-10-06 13:50:00,32.44922,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:46:26.840582,CALL,25290.45,25295.45,5.0,SL Hit,2025-10-15 10:35:00,2025-10-15 11:05:00,25.5,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:48:06.264064,CALL,25507.4,25573.6,66.19922,EOD Square-off,2025-10-16 12:35:00,2025-10-16 15:15:00,113.59961,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 16:49:03.832048,CALL,25672.75,25677.75,5.0,SL Hit,2025-10-17 10:20:00,2025-10-17 13:00:00,104.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:01:39.411458,CALL,25486.2,25500.6,14.400391,EOD Square-off,2025-11-07 12:50:00,2025-11-07 15:15:00,53.75,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:02:56.184737,CALL,25618.15,25568.65,-49.50039,SL Hit,2025-11-10 10:35:00,2025-11-10 15:10:00,31.65039,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:05:03.573453,CALL,25874.05,25870.15,-3.9003906,EOD Square-off,2025-11-12 10:50:00,2025-11-12 15:15:00,54.09961,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:10:31.468417,CALL,25965.6,26053.15,87.55078,EOD Square-off,2025-11-19 10:20:00,2025-11-19 15:15:00,95.90039,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:15:39.597583,CALL,26123.5,26205.15,81.65039,EOD Square-off,2025-11-26 10:50:00,2025-11-26 15:15:00,91.30078,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:21:18.688058,CALL,26084.45,26034.65,-49.799217,SL Hit,2025-12-04 10:35:00,2025-12-04 11:35:00,8.25,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:22:54.726171,CALL,26136.05,26194.65,58.59961,EOD Square-off,2025-12-05 11:05:00,2025-12-05 15:15:00,58.69922,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:25:25.780675,CALL,25929.2,25878.7,-50.499218,SL Hit,2025-12-10 10:20:00,2025-12-10 10:50:00,0.3515625,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:25:49.512067,PUT,25791.3,25841.7,-50.39922,SL Hit,2025-12-10 12:35:00,2025-12-10 13:35:00,19.75,0.0,INTRADAY_TREND_CONTINUATION,Signal
BACKTEST_20260119_150947,2026-01-19 17:27:24.404242,CALL,25882.6,25901.65,19.050781,EOD Square-off,2025-12-11 12:05:00,2025-12-11 15:15:00,33.90039,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:31:01.325329,PUT,25846.0,25841.0,5.0,SL Hit,2025-12-17 10:05:00,2025-12-17 11:10:00,32.34961,0.0,INTRADAY_TREND_CONTINUATION,Signal
BACKTEST_20260119_150947,2026-01-19 17:32:06.485716,CALL,25855.5,25829.4,-26.1,SL Hit,2025-12-18 10:35:00,2025-12-18 11:00:00,0.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:38:01.268156,PUT,26064.6,26039.4,25.199219,EOD Square-off,2025-12-26 11:20:00,2025-12-26 15:15:00,51.84961,0.0,INTRADAY_TREND_CONTINUATION,Signal
BACKTEST_20260119_150947,2026-01-19 17:39:05.038136,PUT,26002.75,25941.15,61.59961,EOD Square-off,2025-12-29 10:50:00,2025-12-29 15:15:00,75.44922,0.0,INTRADAY_TREND_CONTINUATION,Signal
BACKTEST_20260119_150947,2026-01-19 17:39:34.906400,CALL,25973.0,25923.7,-49.3,SL Hit,2025-12-30 10:35:00,2025-12-30 11:05:00,0.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:41:18.996155,CALL,26072.0,26130.25,58.25,EOD Square-off,2025-12-31 11:50:00,2025-12-31 15:15:00,112.0,0.0,ITC,Signal
BACKTEST_20260119_150947,2026-01-19 17:41:43.120740,PUT,26131.7,26182.15,-50.450783,SL Hit,2026-01-01 10:20:00,2026-01-01 10:45:00,0.0,0.0,INTRADAY_TREND_CONTINUATION,Signal
